order_id,date,age,gender,city,product_category,quantity,unit_sale,payment_method,total_sale
1037,2024-02-20,22,Male,Kolkata,Furniture,1,4880,Card,4880
1038,2024-12-29,43,Female,Chennai,Books,3,1952,Card,5856
1039,2024-02-24,31,Male,Bangalore,Clothing,4,4275,Card,17100
1040,2024-08-31,56,Male,Mumbai,Furniture,2,3033,Card,6066
1041,2024-11-15,44,Female,Mumbai,Clothing,1,3384,UPI,3384
1042,2024-05-10,26,Male,Chennai,Grocery,7,4398,UPI,30786
1043,2024-11-02,32,Male,Bangalore,Electronics,8,2911,Card,23288
1044,2024-05-14,32,Male,Bangalore,Grocery,7,1350,Net Banking,9450
1045,2024-01-21,43,Female,Kolkata,Furniture,5,3612,Cash,18060
1046,2024-11-24,59,Female,Bangalore,Clothing,1,1356,Card,1356
1047,2024-06-15,30,Male,Bangalore,Clothing,7,3476,Net Banking,24332
1048,2024-09-30,49,Female,Bangalore,Books,7,3586,Cash,25102
1049,2024-03-29,56,Female,Delhi,Clothing,9,3684,Card,33156
1050,2024-11-11,49,Female,Kolkata,Books,3,1496,Card,4488
1051,2024-01-14,21,Female,Mumbai,Electronics,9,3737,UPI,33633
1052,2024-08-29,47,Male,Chennai,Furniture,1,3430,Cash,3430
1053,2024-09-21,54,Male,Mumbai,Books,1,2803,Cash,2803
1054,2024-12-11,40,Female,Kolkata,Electronics,4,570,Net Banking,2280
1055,2024-02-22,56,Female,Chennai,Clothing,9,1453,UPI,13077
1056,2024-12-05,62,Male,Kolkata,Clothing,6,2883,UPI,17298
1057,2024-04-01,32,Male,Bangalore,Electronics,3,2931,UPI,8793
1058,2024-09-20,60,Female,Chennai,Clothing,1,457,UPI,457
1059,2024-02-04,46,Male,Bangalore,Electronics,4,3119,Cash,12476
1060,2024-07-24,53,Female,Mumbai,Books,9,767,Cash,6903
1061,2024-03-21,30,Female,Mumbai,Books,3,4568,Card,13704
1062,2024-02-19,49,Male,Chennai,Electronics,9,1245,Card,11205
1063,2024-12-25,24,Male,Chennai,Books,7,4285,UPI,29995
1064,2024-01-02,39,Female,Kolkata,Books,4,3819,UPI,15276
1065,2024-02-23,45,Female,Kolkata,Books,3,2845,UPI,8535
1066,2024-04-15,19,Male,Bangalore,Grocery,5,639,Card,3195
1067,2024-09-16,59,Female,Chennai,Furniture,5,2879,Net Banking,14395
1068,2024-11-05,62,Male,Mumbai,Clothing,3,4236,Net Banking,12708
1069,2024-07-09,23,Female,Kolkata,Grocery,9,4935,Card,44415
1070,2024-08-05,45,Male,Kolkata,Books,4,3875,Card,15500
1071,2024-02-13,45,Male,Mumbai,Electronics,5,2608,Card,13040
1072,2024-06-10,61,Male,Kolkata,Books,4,2879,Card,11516
1073,2024-07-20,61,Female,Bangalore,Furniture,5,1024,Card,5120
1074,2024-09-26,37,Female,Chennai,Books,7,3056,Card,21392
1075,2024-12-16,47,Male,Mumbai,Electronics,9,1681,UPI,15129
1076,2024-10-30,28,Female,Chennai,Furniture,7,3424,UPI,23968
1077,2024-09-27,45,Male,Kolkata,Books,5,4585,UPI,22925
1078,2024-08-02,42,Male,Kolkata,Furniture,7,355,UPI,2485
1079,2024-09-08,56,Female,Mumbai,Clothing,5,4904,Card,24520
1080,2024-07-08,50,Female,Bangalore,Clothing,3,1938,Net Banking,5814
1081,2024-10-22,18,Male,Delhi,Books,7,2044,Cash,14308
1082,2024-07-31,44,Female,Mumbai,Furniture,2,109,Card,218
1083,2024-07-26,30,Female,Delhi,Electronics,9,2971,Cash,26739
1084,2024-08-24,58,Male,Delhi,Books,1,897,Net Banking,897
1085,2024-12-03,20,Male,Bangalore,Clothing,6,1115,UPI,6690
1086,2024-02-22,56,Female,Delhi,Clothing,7,1924,Net Banking,13468
1087,2024-10-06,23,Male,Delhi,Books,8,4569,Card,36552
1088,2024-08-04,25,Male,Bangalore,Furniture,9,3236,UPI,29124
1089,2024-09-08,44,Female,Delhi,Clothing,2,2293,Card,4586
1090,2024-07-06,26,Male,Delhi,Furniture,2,323,UPI,646
1091,2024-02-10,54,Male,Delhi,Clothing,5,4258,Cash,21290
1092,2024-06-05,50,Female,Mumbai,Clothing,5,4025,Cash,20125
1093,2024-01-15,59,Female,Mumbai,Grocery,6,4884,Cash,29304
1094,2024-10-27,61,Male,Mumbai,Clothing,3,4100,Net Banking,12300
1095,2024-03-05,41,Male,Bangalore,Electronics,8,1733,Card,13864
1096,2024-12-10,32,Female,Kolkata,Books,1,2252,Net Banking,2252
1097,2024-11-22,49,Female,Delhi,Books,6,610,Cash,3660
1098,2024-01-09,49,Female,Delhi,Furniture,4,484,Card,1936
1099,2024-12-09,41,Female,Bangalore,Clothing,1,504,Cash,504
1100,2024-05-08,58,Male,Delhi,Electronics,7,4713,Net Banking,32991
